PRODUTO_ID_ORIGEM,NOME_ORIGINAL,RESULTADO,PRODUTO_CONSOLIDADO,NOME_CONSOLIDADO,DUPLICADO_DE,MOTIVO,FONTE_ORIGINAL,FONTE_CONSOLIDADA,CONFIANCA,LINHA_NA_PLANILHA_ORIGINAL,OBSERVACAO,TIPO_REGISTRO
EXC-011,D-RTK 3 AG,CONSOLIDADO EM OUTRO,DJI-068,GNSS DJI BASE RTK DRTK3 AG,DJI-068,DUPLICIDADE - CATALOGO DJI CONFIRMADO,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 12,V4: D-RTK 3 AG e o mesmo produto do DJI-068. O registro canonico esta confirmado e integra a carga inativa.,ORIGEM
EXC-012,DJI O4 RELAY,CONSOLIDADO EM OUTRO,DJI-072,RELAY O4 (MODELO NOVO),DJI-072,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 13,DUPLICIDADE: DJI O4 RELAY = RELAY O4 (MODELO NOVO): 6.500 a vista nas duas fontes,ORIGEM
EXC-013,DONGLE RTK,MANTIDO FORA DA CARGA,,,,FONTE COMERCIAL PENDENTE,EXCEL 2026 (custo),,CONFERIR,PRODUTOS linha 14,V4: item de planilha interna sem catalogo/nota comercial e sem codigo de fabricante confirmado; nao integrar.,ORIGEM
EXC-014,DRONE T 100 PROPULSÃO,MANTIDO FORA DA CARGA,EXC-014,DRONE T 100 PROPULSÃO,,COMPONENTE DE KIT,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 15,"COMPONENTE DE KIT: Metade contabil do drone T100 (47.350 x 2 = 94.700 = DRONE AVULSO T100 da DJI). Nao e produto vendavel avulso, e faturado tem divergencia registrada (48.375 / 20.800) | divergência faturado: também R$ 48.375,00, R$ 20.800,00",ORIGEM
EXC-015,DRONE T 100 PULVERIZAÇÃO,MANTIDO FORA DA CARGA,EXC-015,DRONE T 100 PULVERIZAÇÃO,,COMPONENTE DE KIT,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 16,"COMPONENTE DE KIT: Metade contabil do drone T100. Mesmo caso do EXC-014 | divergência faturado: também R$ 48.375,00, R$ 20.800,00",ORIGEM
EXC-016,DRONE T 25P PULVERIZAÇÃO,MANTIDO FORA DA CARGA,EXC-016,DRONE T 25P PULVERIZAÇÃO,,COMPONENTE DE KIT,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 17,"COMPONENTE DE KIT: Metade contabil do drone T25P. As duas metades somam 25.109, que nao bate com o DRONE AVULSO T25P da DJI (31.961)",ORIGEM
EXC-017,DRONE T 55 PULVERIZAÇÃO,MANTIDO FORA DA CARGA,EXC-017,DRONE T 55 PULVERIZAÇÃO,,CONTAMINACAO DE ABA,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 18,"CONTAMINACAO DE ABA: Metade do drone T55 com valor 20.370, identico ao do T25P e ao do GERADOR D14000. A aba T55 da planilha original tem titulo e totais do T25 (falha registrada na aba CONFERENCIA)",ORIGEM
EXC-018,DRONE T25P PROPULSÃO,MANTIDO FORA DA CARGA,EXC-018,DRONE T25P PROPULSÃO,,COMPONENTE DE KIT,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 19,COMPONENTE DE KIT: Metade contabil do drone T25P. Mesmo caso do EXC-016,ORIGEM
EXC-019,DRONE T55 PROPULSÃO,MANTIDO FORA DA CARGA,EXC-019,DRONE T55 PROPULSÃO,,CONTAMINACAO DE ABA,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 20,"CONTAMINACAO DE ABA: Metade do drone T55 com valor 4.739, identico ao do T25P. Mesma contaminacao do EXC-017",ORIGEM
EXC-020,DRONE T70P PROPULSÃO,MANTIDO FORA DA CARGA,EXC-020,DRONE T70P PROPULSÃO,,COMPONENTE DE KIT,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 21,COMPONENTE DE KIT: Metade contabil do drone T70P (30.550 x 2 = 61.100 = DRONE AVULSO T70P da DJI). Nao e produto vendavel avulso,ORIGEM
EXC-021,DRONE T70P PULVERIZAÇÃO,MANTIDO FORA DA CARGA,EXC-021,DRONE T70P PULVERIZAÇÃO,,COMPONENTE DE KIT,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 22,COMPONENTE DE KIT: Metade contabil do drone T70P. Mesmo caso do EXC-020,ORIGEM
EXC-022,GERADOR DJI INVERTER 14000IE,CONSOLIDADO EM OUTRO,DJI-036,GERADOR T100 / T70P (D14000),DJI-036,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 23,"DUPLICIDADE: GERADOR D14000: a vista 20.370 e faturado 21.000 identicos nas duas fontes | divergência faturado: também R$ 20.370,00",ORIGEM
EXC-023,GERADOR DJI INVERTER 6000IE,CONSOLIDADO EM OUTRO,DJI-039,GERADOR T25P / T25 (D6000),DJI-039,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 24,DUPLICIDADE: GERADOR 6000IE = D6000: mesmo item. Preco diverge (14.050 x 11.500) - ver DIVERGENCIAS,ORIGEM
EXC-024,HUB CARREGAMENTO WB37,CONSOLIDADO EM OUTRO,DJI-079,CARREGADOR P/ BATERIA WB37,DJI-079,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,MEDIA,PRODUTOS linha 25,DUPLICIDADE: HUB CARREGAMENTO WB37 = CARREGADOR P/ BATERIA WB37. Mesmo raciocinio do EXC-008: a DJI so tem um carregador para a WB37. Adotado o valor do catalogo oficial (670 / 750),ORIGEM
EXC-025,KIT 100 DE BICOS,CONSOLIDADO EM OUTRO,DJI-056,KIT BICOS T100 (BICO DE NEVOA),DJI-056,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 26,"DUPLICIDADE: KIT DE BICOS T100: 8.000 / 8.320 identicos nas duas fontes | divergência à vista: também R$ 3.670,00; divergência faturado: também R$ 8.320,00, R$ 3.670,00, R$ 3.750,00",ORIGEM
EXC-026,KIT T100 GUINCHO,CONSOLIDADO EM OUTRO,DJI-062,LIFT T100 (DUAL BATTERY),DJI-062,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 27,"DUPLICIDADE: GUINCHO T100 = LIFT T100: 9.000 / 9.360 identicos nas duas fontes | divergência faturado: também R$ 9.360,00",ORIGEM
EXC-027,KIT T70P DE BICOS,CONSOLIDADO EM OUTRO,DJI-057,KIT BICOS T70P (BICO DE NEVOA),DJI-057,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 28,DUPLICIDADE: KIT DE BICOS T70P: 6.000 / 6.240 identicos nas duas fontes,ORIGEM
EXC-028,KIT T70P GUINCHO,CONSOLIDADO EM OUTRO,DJI-063,LIFT T70P,DJI-063,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 29,DUPLICIDADE: GUINCHO T70P = LIFT T70P: 3.100 / 3.250 identicos nas duas fontes,ORIGEM
EXC-029,MISTURADOR JR 1000 L,MANTIDO FORA DA CARGA,EXC-029,MISTURADOR JR 1000 L,,PRODUTO INEXISTENTE,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 30,PRODUTO INEXISTENTE: MISTURADOR JR 1000 L nao existe no catalogo JR. A JR tem 1.200L (XP 14.000 / GT 15.900 / DTE 20.800) e nenhum bate com os 19.500 do Excel,ORIGEM
EXC-030,MISTURADOR JR 200 L,CONSOLIDADO EM OUTRO,JR-005,DRONE MIX 200L LE Agitacao Hidraulica 220Volts,JR-005,DUPLICIDADE,EXCEL 2026 (custo),JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 31,DUPLICIDADE: MISTURADOR JR 200 L = DRONE MIX 200L LE (cod. 1361): 6.200 identico nas duas fontes,ORIGEM
EXC-031,MISTURADOR JR 250 L,MANTIDO FORA DA CARGA,EXC-031,MISTURADOR JR 250 L,,PRODUTO INEXISTENTE,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 32,PRODUTO INEXISTENTE: MISTURADOR JR 250 L nao existe no catalogo JR e esta com o preco do 200 L (6.200),ORIGEM
EXC-032,MISTURADOR JR 250 PICKUP L,MANTIDO FORA DA CARGA,EXC-032,MISTURADOR JR 250 PICKUP L,,PRODUTO INEXISTENTE,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 33,PRODUTO INEXISTENTE: MISTURADOR JR 250 PICKUP L nao tem correspondencia no catalogo JR,ORIGEM
EXC-033,MISTURADOR JR 320 L,CONSOLIDADO EM OUTRO,JR-006,DRONE MIX 320L LE Agitacao Hidraulica 220Volts,JR-006,DUPLICIDADE,EXCEL 2026 (custo),JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 34,"DUPLICIDADE: MISTURADOR JR 320 L = DRONE MIX 320L LE (cod. 1240): 6.800 identico nas duas fontes | divergência à vista: também R$ 8.900,00; divergência faturado: também R$ 8.900,00",ORIGEM
EXC-034,MISTURADOR JR 600 L,CONSOLIDADO EM OUTRO,JR-009,DRONE MIX 600L XT VERTICAL Agitacao Hid + Rotor Superior 220Volts,JR-009,DUPLICIDADE,EXCEL 2026 (custo),JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 35,"DUPLICIDADE: MISTURADOR JR 600 L = DRONE MIX 600L XT VERTICAL (cod. 1275): 9.700 identico nas duas fontes | divergência à vista: também R$ 10.000,00; divergência faturado: também R$ 10.000,00",ORIGEM
EXC-035,TANQUE DISPERSOR DE SOLIDOS 150L,CONSOLIDADO EM OUTRO,DJI-087,DISPERSOR DE SOLIDOS T100,DJI-087,REASSOCIACAO AO REGISTRO CANONICO LIDO NO PDF,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 36,"V4: o registro interno foi substituido pelo produto DJI-087, com valores 12.220/12.500 conferidos diretamente no PDF.",ORIGEM
EXC-036,TANQUE DISPERSOR DE SOLIDOS T25,CONSOLIDADO EM OUTRO,DJI-048,DISPERSOR DE SOLIDOS T25P,DJI-048,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 37,"DUPLICIDADE: O item chamado ""T25"" no Excel custa 6.310/6.450 - que e o DISPERSOR T25P da DJI, nao o T25 (4.190). O preco prova o pareamento; o nome no Excel esta incompleto | divergência faturado: também R$ 6.450,00",ORIGEM
EXC-037,TANQUE DISPERSOR DE SOLIDOS T70P,CONSOLIDADO EM OUTRO,DJI-047,DISPERSOR DE SOLIDOS T70P,DJI-047,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 38,DUPLICIDADE: DISPERSOR T70P: 7.030 / 7.200 identicos nas duas fontes,ORIGEM
EXC-038,TOYAMA DIESEL + FRETE,MANTIDO FORA DA CARGA,EXC-038,TOYAMA DIESEL + FRETE,,NAO E PRODUTO LIMPO,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 39,"NAO E PRODUTO LIMPO: ""TOYAMA DIESEL + FRETE"" mistura equipamento e frete no mesmo valor (31.460). Nao da para separar o preco do produto",ORIGEM
EXC-039,TOYAMA TG10000CXE MONOFASICO 11/230V 60HZ 9KW,MANTIDO FORA DA CARGA,,,,FONTE COMERCIAL PENDENTE,EXCEL 2026 (custo),,CONFERIR,PRODUTOS linha 40,V4: item de planilha interna sem catalogo/nota comercial e sem codigo de fabricante confirmado; nao integrar.,ORIGEM
EXC-040,"TOYAMA TG12000CXNE MONOFASICO 115/230V 60HZ 10,5KW",MANTIDO FORA DA CARGA,,,,FONTE COMERCIAL PENDENTE,EXCEL 2026 (custo),,CONFERIR,PRODUTOS linha 41,V4: item de planilha interna sem catalogo/nota comercial e sem codigo de fabricante confirmado; nao integrar.,ORIGEM
EXC-041,"TOYAMA TG15000CXE MONOFASICO 115/230V 60HZ 13,5KW",MANTIDO FORA DA CARGA,,,,FONTE COMERCIAL PENDENTE,EXCEL 2026 (custo),,CONFERIR,PRODUTOS linha 42,V4: item de planilha interna sem catalogo/nota comercial e sem codigo de fabricante confirmado; nao integrar.,ORIGEM
EXC-042,TOYAMA TG22000CXNE,MANTIDO FORA DA CARGA,,,,FONTE COMERCIAL PENDENTE,EXCEL 2026 (custo),,CONFERIR,PRODUTOS linha 43,V4: item de planilha interna sem catalogo/nota comercial e sem codigo de fabricante confirmado; nao integrar.,ORIGEM
EXC-043,TRIPE D-RTK,CONSOLIDADO EM OUTRO,DJI-077,TRIPE + BASTAO ORIGINAL DJI D-RTK 3,DJI-077,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 44,DUPLICIDADE: TRIPE D-RTK: 2.500 identico nas duas fontes (teste da aba CONFERENCIA),ORIGEM
DJI-001,DRONE AGRAS T100 + 3 BAT + CARREGADOR C12000,IMPORTAR,DJI-001,DRONE AGRAS T100 + 3 BAT + CARREGADOR C12000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 45,confianca ALTA,ORIGEM
DJI-002,DRONE AGRAS T100 + 3 BAT + GERADOR D14000,IMPORTAR,DJI-002,DRONE AGRAS T100 + 3 BAT + GERADOR D14000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 46,confianca ALTA,ORIGEM
DJI-003,DRONE AGRAS T70P + 3 BAT + CARREGADOR C12000,IMPORTAR,DJI-003,DRONE AGRAS T70P + 3 BAT + CARREGADOR C12000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 47,confianca ALTA,ORIGEM
DJI-004,DRONE AGRAS T70P + 3 BAT + GERADOR D14000,IMPORTAR,DJI-004,DRONE AGRAS T70P + 3 BAT + GERADOR D14000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 48,confianca ALTA,ORIGEM
DJI-005,DRONE AGRAS T25P + 3 BAT + CARREGADOR C8000,IMPORTAR,DJI-005,DRONE AGRAS T25P + 3 BAT + CARREGADOR C8000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 49,confianca ALTA,ORIGEM
DJI-006,DRONE AGRAS T25P + 3 BAT + GERADOR D6000,IMPORTAR,DJI-006,DRONE AGRAS T25P + 3 BAT + GERADOR D6000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 50,confianca ALTA,ORIGEM
DJI-007,DRONE AGRAS T55 + 3 BAT DB1050 + CARREGADOR C7000,IMPORTAR,DJI-007,DRONE AGRAS T55 + 3 BAT DB1050 + CARREGADOR C7000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 51,confianca ALTA,ORIGEM
DJI-008,DRONE AGRAS T55 + 3 BAT DB1050 + GERADOR D8000,IMPORTAR,DJI-008,DRONE AGRAS T55 + 3 BAT DB1050 + GERADOR D8000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 52,confianca ALTA,ORIGEM
DJI-009,DRONE AGRAS T55 + 3 BAT DB1580 + CARREGADOR C12000,IMPORTAR,DJI-009,DRONE AGRAS T55 + 3 BAT DB1580 + CARREGADOR C12000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 53,confianca ALTA,ORIGEM
DJI-010,DRONE AGRAS T55 + 3 BAT DB1580 + GERADOR D14000,IMPORTAR,DJI-010,DRONE AGRAS T55 + 3 BAT DB1580 + GERADOR D14000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 54,confianca ALTA,ORIGEM
DJI-011,DRONE AGRAS T100 + 6 BAT + 2 CARREGADORES C12000 + KIT DUAL BATTERY + 2 DC55,IMPORTAR,DJI-011,DRONE AGRAS T100 + 6 BAT + 2 CARREGADORES C12000 + KIT DUAL BATTERY + 2 DC55,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 55,confianca ALTA,ORIGEM
DJI-012,DRONE AGRAS T100 + 6 BAT + 2 GERADORES D14000 + KIT DUAL BATTERY,IMPORTAR,DJI-012,DRONE AGRAS T100 + 6 BAT + 2 GERADORES D14000 + KIT DUAL BATTERY,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 56,confianca ALTA,ORIGEM
DJI-013,01 - KIT DE PULV. T100 DUAL BATTERY + CABO,CONSOLIDADO EM OUTRO,DJI-045,KIT DE PULV. T100 DUAL BATTERY + CABO,DJI-045,DUPLICIDADE,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 57,DUPLICIDADE: Linha de composicao do KIT UPGRADE (gerador). Mesmo item e mesmo valor do avulso DJI-045 | confianca ALTA - componente do kit,ORIGEM
DJI-014,03 - BATERIA (DB2160),CONSOLIDADO EM OUTRO,DJI-023,BATERIA T100 / T70P (DB2160),DJI-023,DUPLICIDADE,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 58,"DUPLICIDADE: Linha de composicao 3 x BATERIA DB2160 (54.990 = 3 x 18.330). Quantidade, nao produto novo | confianca ALTA - componente do kit - 3 x DB2160",ORIGEM
DJI-015,01 - GERADOR D14000,CONSOLIDADO EM OUTRO,DJI-036,GERADOR T100 / T70P (D14000),DJI-036,DUPLICIDADE,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 59,"DUPLICIDADE: Linha de composicao: GERADOR D14000, mesmo valor do avulso | confianca ALTA - componente do kit",ORIGEM
DJI-016,01 - RESFRIADOR DE BATERIAS T100/T70P,CONSOLIDADO EM OUTRO,DJI-085,RESFRIADOR DE BATERIAS T100/T70P,DJI-085,DUPLICIDADE,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 60,"DUPLICIDADE: Linha de composicao: RESFRIADOR DE BATERIAS T100/T70P, mesmo valor do avulso | confianca ALTA - componente do kit",ORIGEM
DJI-017,TOTAL DO KIT UPGRADE T100 - DUAL BATTERY - GERADOR D14000,MANTIDO FORA DA CARGA,DJI-017,TOTAL DO KIT UPGRADE T100 - DUAL BATTERY - GERADOR D14000,,LINHA DE TOTAL,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 61,"LINHA DE TOTAL: Linha de TOTAL do KIT UPGRADE T100 (gerador), nao um produto. Os 4 componentes ja estao no catalogo; o kit em si pertence ao dominio de KITS | confianca ALTA - soma dos 4 componentes confere exatamente",ORIGEM
DJI-018,01 - KIT DE PULV. T100 DUAL BATTERY + CABO,CONSOLIDADO EM OUTRO,DJI-045,KIT DE PULV. T100 DUAL BATTERY + CABO,DJI-045,DUPLICIDADE,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 62,DUPLICIDADE: Linha de composicao do KIT UPGRADE (carregador). Mesmo item e mesmo valor do avulso DJI-045 | confianca ALTA - componente do kit,ORIGEM
DJI-019,03 - BATERIA (DB2160),CONSOLIDADO EM OUTRO,DJI-023,BATERIA T100 / T70P (DB2160),DJI-023,DUPLICIDADE,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 63,"DUPLICIDADE: Linha de composicao 3 x BATERIA DB2160 (54.990 = 3 x 18.330). Quantidade, nao produto novo | confianca ALTA - componente do kit - 3 x DB2160",ORIGEM
DJI-020,01 - CARREGADOR T100 / T70P (C12000),CONSOLIDADO EM OUTRO,DJI-031,CARREGADOR T100 / T70P (C12000),DJI-031,DUPLICIDADE,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 64,"DUPLICIDADE: Linha de composicao: CARREGADOR C12000, mesmo valor do avulso | confianca ALTA - componente do kit",ORIGEM
DJI-021,01 - RESFRIADOR DE BATERIAS T100/T70P,CONSOLIDADO EM OUTRO,DJI-085,RESFRIADOR DE BATERIAS T100/T70P,DJI-085,DUPLICIDADE,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 65,"DUPLICIDADE: Linha de composicao: RESFRIADOR DE BATERIAS T100/T70P, mesmo valor do avulso | confianca ALTA - componente do kit",ORIGEM
DJI-022,TOTAL DO KIT UPGRADE T100 - DUAL BATTERY - CARREGADOR C12000,MANTIDO FORA DA CARGA,DJI-022,TOTAL DO KIT UPGRADE T100 - DUAL BATTERY - CARREGADOR C12000,,LINHA DE TOTAL,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 66,"LINHA DE TOTAL: Linha de TOTAL do KIT UPGRADE T100 (carregador), nao um produto. Mesmo caso do DJI-017 | confianca ALTA - soma dos 4 componentes confere exatamente",ORIGEM
DJI-023,BATERIA T100 / T70P (DB2160),IMPORTAR,DJI-023,BATERIA T100 / T70P (DB2160),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 67,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-024,BATERIA T25P / T25 (DB800),IMPORTAR,DJI-024,BATERIA T25P / T25 (DB800),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 68,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-025,BATERIA T55 / T70P (DB1580),IMPORTAR,DJI-025,BATERIA T55 / T70P (DB1580),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 69,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-026,BATERIA T55 (DB1050),IMPORTAR,DJI-026,BATERIA T55 (DB1050),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 70,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-027,BATERIA T50 / T40 (DB1560),IMPORTAR,DJI-027,BATERIA T50 / T40 (DB1560),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 71,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-028,BATERIA T20P,IMPORTAR,DJI-028,BATERIA T20P,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 72,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
